slug;name;birth_year
Lazzaro_Spallanzani;Lazzaro Spallanzani;1729
Richard_Dedekind;Richard Dedekind;1831
Philippe_Pinel;Philippe Pinel;1745
Robert_Woodrow_Wilson;Robert Woodrow Wilson;1936
Siméon_Denis_Poisson;Siméon Denis Poisson;1781
Charles_Goodyear;Charles Goodyear;1800
Willis_Carrier;Willis Carrier;1876
Andrey_Kolmogorov;Andrey Kolmogorov;1903
Gabriel_Lippmann;Gabriel Lippmann;1845
Johann_Heinrich_Lambert;Johann Heinrich Lambert;1728
Benoit_Mandelbrot;Benoit Mandelbrot;1924
Joseph_Lister;Joseph Lister;1827
August_Kekulé;August Kekulé;1829
George_Everest;George Everest;1790
Eugen_Bleuler;Eugen Bleuler;1857
Jacob_Bernoulli;Jacob Bernoulli;1654
Ernst_Abbe;Ernst Abbe;1840
Frederick_Soddy;Frederick Soddy;1877
Ernst_Ruska;Ernst Ruska;1906
Umberto_Nobile;Umberto Nobile;1885
Marcello_Malpighi;Marcello Malpighi;1628
Henrik_Dam;Henrik Dam;1895
William_Henry_Bragg;William Henry Bragg;1862
Carl_Bosch;Carl Bosch;1874
Barry_Barish;Barry Barish;1936
Johann_Jakob_Balmer;Johann Jakob Balmer;1825
Aryabhata;Aryabhata;476
Katherine_Johnson;Katherine Johnson;1918
Charles_Richet;Charles Richet;1850
Frederick_Sanger;Frederick Sanger;1918
António_Egas_Moniz;António Egas Moniz;1874
Charles_Glover_Barkla;Charles Glover Barkla;1877
Anders_Jonas_Ångström;Anders Jonas Ångström;1814
Regiomontanus;Regiomontanus;1436
Bhāskara_II;Bhāskara II;1114
Georges-Louis_Leclerc,_Comte_de_Buffon;Georges-Louis Leclerc, Comte de Buffon;1707
Hippolyte_Fizeau;Hippolyte Fizeau;1819
Christiaan_Barnard;Christiaan Barnard;1922
Ctesibius;Ctesibius;-284
Jules_Bordet;Jules Bordet;1870
Pavel_Cherenkov;Pavel Cherenkov;1904
François_Duvalier;François Duvalier;1907
Stanley_Cohen_(biochemist);Stanley Cohen;1922
Martin_Waldseemüller;Martin Waldseemüller;1470
Giuseppe_Peano;Giuseppe Peano;1858
Wilhelm_Maybach;Wilhelm Maybach;1846
Santiago_Ramón_y_Cajal;Santiago Ramón y Cajal;1852
Joseph_Henry;Joseph Henry;1797
C._F._Powell;C. F. Powell;1903
Eugene_Wigner;Eugene Wigner;1902
Douglas_Engelbart;Douglas Engelbart;1925
Karl_Ernst_von_Baer;Karl Ernst von Baer;1792
Clinton_Davisson;Clinton Davisson;1881
Roger_Joseph_Boscovich;Roger Joseph Boscovich;1711
Charles_Lyell;Charles Lyell;1797
Hans_Adolf_Krebs;Hans Adolf Krebs;1900
William_Crookes;William Crookes;1832
René_Laennec;René Laennec;1781
Giuseppe_Piazzi;Giuseppe Piazzi;1746
Nicolas_Steno;Nicolas Steno;1638
Jean-Baptiste_Biot;Jean-Baptiste Biot;1774
Manne_Siegbahn;Manne Siegbahn;1886
Karl_Drais;Karl Drais;1785
Pappus_of_Alexandria;Pappus of Alexandria;290
Arthur_Eddington;Arthur Eddington;1882
Alexei_Kosygin;Alexei Kosygin;1904
Wilhelm_Schickard;Wilhelm Schickard;1592
Robert_Bunsen;Robert Bunsen;1811
Barbara_McClintock;Barbara McClintock;1902
Heinrich_Wilhelm_Matthias_Olbers;Heinrich Wilhelm Matthias Olbers;1758
Ernest_Lawrence;Ernest Lawrence;1901
Augustin-Jean_Fresnel;Augustin-Jean Fresnel;1788
François_Arago;François Arago;1786
Joseph_Black;Joseph Black;1728
John_Bardeen;John Bardeen;1908
John_Boyd_Dunlop;John Boyd Dunlop;1840
Alexandre_Yersin;Alexandre Yersin;1863
Arno_Allan_Penzias;Arno Allan Penzias;1933
Emil_von_Behring;Emil von Behring;1854
James_Parkinson;James Parkinson;1755
Felix_Klein;Felix Klein;1849
Jiro_Horikoshi;Jiro Horikoshi;1903
Steve_Wozniak;Steve Wozniak;1950
Emile_Berliner;Emile Berliner;1851
Allvar_Gullstrand;Allvar Gullstrand;1862
Nikolaas_Tinbergen;Nikolaas Tinbergen;1907
Adrien-Marie_Legendre;Adrien-Marie Legendre;1752
Gerhard_Armauer_Hansen;Gerhard Armauer Hansen;1841
Mary_Somerville;Mary Somerville;1780
Igor_Tamm;Igor Tamm;1895
Robert_Edwards_(physiologist);Robert Edwards;1925
Kip_Thorne;Kip Thorne;1940
Karl_Brandt;Karl Brandt;1904
Jamshīd_al-Kāshī;Jamshīd al-Kāshī;1380
Auguste_Piccard;Auguste Piccard;1884
Johann_Gottfried_Galle;Johann Gottfried Galle;1812
Felix_Bloch;Felix Bloch;1905
Nicolas-Joseph_Cugnot;Nicolas-Joseph Cugnot;1725
Jack_Kilby;Jack Kilby;1923
Jan_Baptist_van_Helmont;Jan Baptist van Helmont;1580
Henry_Moseley;Henry Moseley;1887
Dennis_Ritchie;Dennis Ritchie;1941
Simon_van_der_Meer;Simon van der Meer;1925
Henry_Fox_Talbot;Henry Fox Talbot;1800
Jan_Oort;Jan Oort;1900
Karl_Schwarzschild;Karl Schwarzschild;1873
Paul_Sabatier_(chemist);Paul Sabatier;1854
Christian_Goldbach;Christian Goldbach;1690
Richard_Owen;Richard Owen;1804
Thomas_Young_(scientist);Thomas Young;1773
Walther_Bothe;Walther Bothe;1891
Gerhard_Domagk;Gerhard Domagk;1895
Victor_Grignard;Victor Grignard;1871
Fritz_Todt;Fritz Todt;1891
Arthur_Harden;Arthur Harden;1865
Adam_Opel;Adam Opel;1837
Francis_William_Aston;Francis William Aston;1877
Johannes_Hevelius;Johannes Hevelius;1611
Peter_Simon_Pallas;Peter Simon Pallas;1741
Alfred_Werner;Alfred Werner;1866
Louis_Blériot;Louis Blériot;1872
Richard_Willstätter;Richard Willstätter;1872
August_Weismann;August Weismann;1834
Paul_Karrer;Paul Karrer;1889
Claude_Louis_Berthollet;Claude Louis Berthollet;1748
Hans_Lippershey;Hans Lippershey;1570
Josiah_Willard_Gibbs;Josiah Willard Gibbs;1839
Frank_Whittle;Frank Whittle;1907
J._Hans_D._Jensen;J. Hans D. Jensen;1907
George_Paget_Thomson;George Paget Thomson;1892
Ada_Yonath;Ada Yonath;1939
Christiaan_Eijkman;Christiaan Eijkman;1858
Bonaventura_Cavalieri;Bonaventura Cavalieri;1598
Hermann_Staudinger;Hermann Staudinger;1881
Francesco_Redi;Francesco Redi;1626
Guillaume_de_l'Hôpital;Guillaume de l'Hôpital;1661
Richard_Stallman;Richard Stallman;1953
Harald_zur_Hausen;Harald zur Hausen;1936
Pierre_Louis_Maupertuis;Pierre Louis Maupertuis;1698
Robert_Bellarmine;Robert Bellarmine;1542
